Trial,Status,Population,Continent,c1.0f,c1.1f,c1.2f,c2.0f,c2.1f,c2.2f,c3.0f,c3.1f,c3.2f,c4.0f,c4.1f,c4.2f,c5.0f,c5.1f,c5.2f,c6.0f,c6.1f,c7.0f,c7.1f,c7.2f,c7.3f,c8.0f,c8.1f,c9.0f,c9.1f,c10.0f,c10.1f,c10.2f,c11.0f,c11.1f,c11.2f,c11.3f,c11.4f,c11.5f,c11.6f,c12.0f,c12.1f,c12.2f,c12.3f,c13.0f,c13.1f,c14.0f,c14.1f,c14.2f,c14.3f,c14.4f,c14.5f,c15.0f,c15.1f,c1.0d,c1.1d,c1.2d,c2.0d,c2.1d,c2.2d,c3.0d,c3.1d,c3.2d,c4.0d,c4.1d,c4.2d,c5.0d,c5.1d,c5.2d,c6.0d,c6.1d,c7.0d,c7.1d,c7.2d,c7.3d,c8.0d,c8.1d,c9.0d,c9.1d,c10.0d,c10.1d,c10.2d,c11.0d,c11.1d,c11.2d,c11.3d,c11.4d,c11.5d,c11.6d,c12.0d,c12.1d,c12.2d,c12.3d,c13.0d,c13.1d,c14.0d,c14.1d,c14.2d,c14.3d,c14.4d,c14.5d,c15.0d,c15.1d
c-t10,control,IT,EU,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,97.16,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.14,0.2,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0
t2-t1,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t2,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,1.13,0.43,0.84,0.09,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t3,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t4,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.15,1.08,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0
t2-t5,t2,IT,EU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.23,0.04,0.62,0.11,0.09,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
t2-t6,t2,IT,EU,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.33,0.45,0.48,0.33,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t7,t2,IT,EU,0,1,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.29,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.18,0,0.04,0.16,0.27,0.41,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t8,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0.08,0.55,0.004,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2-t9,t2,IT,EU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.05,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
