Population,Continent,Status,Mated,Duration
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
DE,EU,Control,1,18
DE,EU,Control,1,20
DE,EU,Control,1,15
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,1,20
DE,EU,Control,1,22
DE,EU,Control,1,19
DE,EU,Control,1,15
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,1,16
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,1,20
DE,EU,Control,1,20
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,1,21
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,1,23
DE,EU,Control,1,21
DE,EU,Control,0,NA
DE,EU,Control,1,24
DE,EU,Control,0,NA
DE,EU,Control,1,22
DE,EU,Control,0,NA
DE,EU,Control,1,22
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,1,29
DE,EU,Control,0,NA
DE,EU,Control,1,28
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,1,33
DE,EU,Control,1,26
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,1,28
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,1,18
DE,EU,Control,1,18
DE,EU,Control,1,15
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,0,NA
DE,EU,Control,1,29
DE,EU,Control,1,23
DE,EU,Control,0,NA
DE,EU,Control,1,21
DE,EU,Control,1,15
DE,EU,Control,1,21
DE,EU,T1,0,NA
DE,EU,T1,0,NA
DE,EU,T1,0,NA
DE,EU,T1,0,NA
DE,EU,T1,0,NA
DE,EU,T1,0,NA
DE,EU,T1,0,NA
DE,EU,T1,0,NA
DE,EU,T1,0,NA
DE,EU,T1,0,NA
DE,EU,T2,1,19
DE,EU,T2,1,20
DE,EU,T2,1,15
DE,EU,T2,1,15
DE,EU,T2,1,15
DE,EU,T2,1,22
DE,EU,T2,0,NA
DE,EU,T2,1,16
DE,EU,T2,1,15
DE,EU,T2,1,20
DE,EU,T2,1,21
DE,EU,T2,0,NA
DE,EU,T2,1,18
DE,EU,T2,1,15
DE,EU,T2,1,19
DE,EU,T2,0,NA
DE,EU,T2,0,0.45
DE,EU,T2,0,NA
DE,EU,T2,1,30.03
DE,EU,T2,0,NA
DE,EU,T2,0,NA
DE,EU,T2,0,NA
DE,EU,T2,1,21.09
DE,EU,T2,1,20.14
DE,EU,T2,0,NA
DE,EU,T2,1,25.16
DE,EU,T2,1,23.17
DE,EU,T2,1,21.44
DE,EU,T2,0,NA
DE,EU,T2,0,NA
DE,EU,T2,0,NA
DE,EU,T2,1,19.59
DE,EU,T3,1,18
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,1,19
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,1,16
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,1,25.3
DE,EU,T3,1,22.41
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,1,26.37
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,1,15.3
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,1,19.02
DE,EU,T3,1,19.35
DE,EU,T3,1,20.53
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,1,19.19
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,1,23.41
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,0,NA
DE,EU,T3,1,26.46
DE,EU,T3,0,NA
IT,EU,Control,1,26
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,1,21
IT,EU,Control,1,23
IT,EU,Control,0,NA
IT,EU,Control,1,29
IT,EU,Control,0,NA
IT,EU,Control,1,24
IT,EU,Control,1,16
IT,EU,Control,1,23
IT,EU,Control,1,18
IT,EU,Control,1,21
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,1,29
IT,EU,Control,1,18
IT,EU,Control,0,NA
